ダウンロードした時刻：2017/07/24 15:44:33

,神戸,神戸,神戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/1/1,8.9,12.2,6.0
2004/1/2,8.8,12.0,5.5
2004/1/3,9.1,12.6,6.2
2004/1/4,8.0,10.9,5.4
2004/1/5,7.7,11.0,4.6
2004/1/6,6.7,9.1,4.2
2004/1/7,8.0,11.1,4.2
2004/1/8,4.9,8.4,2.8
2004/1/9,5.4,8.8,2.0
2004/1/10,7.2,10.8,3.8
2004/1/11,4.7,6.6,3.5
2004/1/12,5.9,8.5,1.8
2004/1/13,5.9,8.0,2.9
2004/1/14,4.1,7.6,1.7
2004/1/15,5.0,8.1,2.2
2004/1/16,4.1,6.1,2.7
2004/1/17,4.0,5.6,1.8
2004/1/18,5.9,9.4,1.8
2004/1/19,7.1,9.8,4.7
2004/1/20,6.7,9.9,4.1
2004/1/21,5.1,7.1,1.4
2004/1/22,-0.8,1.8,-2.8
2004/1/23,2.4,6.0,-2.2
2004/1/24,3.3,6.5,1.1
2004/1/25,2.8,6.3,0.7
2004/1/26,4.0,8.8,0.1
2004/1/27,4.7,8.1,2.4
2004/1/28,5.0,8.8,1.4
2004/1/29,7.5,11.3,3.9
2004/1/30,7.3,10.5,3.5
2004/1/31,7.0,10.0,4.6
2004/2/1,7.2,11.3,1.8
2004/2/2,9.6,12.0,7.9
2004/2/3,6.7,9.7,2.7
2004/2/4,3.9,7.4,1.2
2004/2/5,3.2,8.5,0.4
2004/2/6,2.9,6.7,-0.2
2004/2/7,2.9,7.1,-0.5
2004/2/8,4.3,8.2,0.6
2004/2/9,5.6,8.9,3.7
2004/2/10,4.7,8.1,1.0
2004/2/11,5.9,10.6,0.9
2004/2/12,8.4,12.5,4.6
2004/2/13,8.1,12.5,3.5
2004/2/14,9.1,14.9,5.0
2004/2/15,6.9,10.2,4.2
2004/2/16,6.5,10.4,4.3
2004/2/17,6.9,11.8,2.7
2004/2/18,8.1,11.5,4.5
2004/2/19,8.6,13.3,4.4
2004/2/20,10.9,16.5,5.3
2004/2/21,13.7,18.5,9.1
2004/2/22,15.1,19.1,12.5
2004/2/23,8.6,13.3,4.2
2004/2/24,6.8,10.3,2.9
2004/2/25,10.8,14.1,8.2
2004/2/26,10.2,14.3,3.9
2004/2/27,6.3,9.9,2.9
2004/2/28,8.6,12.0,4.0
2004/2/29,11.0,14.9,8.6
2004/3/1,7.9,10.5,5.7
2004/3/2,7.1,12.1,4.0
2004/3/3,5.0,6.8,3.3
2004/3/4,5.2,8.2,1.6
2004/3/5,6.3,10.0,0.8
2004/3/6,5.8,10.6,1.9
2004/3/7,2.4,6.0,0.5
2004/3/8,4.5,8.5,0.4
2004/3/9,8.8,13.5,4.2
2004/3/10,12.7,17.8,6.1
2004/3/11,14.0,16.6,9.7
2004/3/12,9.9,11.5,7.4
2004/3/13,9.4,14.8,4.6
2004/3/14,11.3,16.6,5.5
2004/3/15,12.2,16.0,7.8
2004/3/16,13.8,18.5,8.3
2004/3/17,16.8,20.1,13.4
2004/3/18,10.4,16.8,5.4
2004/3/19,8.5,12.6,3.7
2004/3/20,9.0,10.9,7.5
2004/3/21,10.0,14.0,5.4
2004/3/22,7.5,10.9,6.0
2004/3/23,10.0,13.1,6.9
2004/3/24,11.0,13.1,9.1
2004/3/25,11.6,14.2,10.0
2004/3/26,10.5,14.0,6.4
2004/3/27,10.0,13.3,5.4
2004/3/28,13.4,18.3,7.9
2004/3/29,16.0,21.2,11.5
2004/3/30,16.1,17.3,14.8
2004/3/31,13.0,16.8,8.6
2004/4/1,12.4,16.7,7.1
2004/4/2,15.1,18.5,11.7
2004/4/3,13.4,17.8,9.8
2004/4/4,8.3,10.9,7.1
2004/4/5,10.1,13.1,6.0
2004/4/6,14.1,18.9,8.3
2004/4/7,16.0,20.3,12.1
2004/4/8,13.3,17.6,10.5
2004/4/9,13.5,18.4,8.4
2004/4/10,17.1,23.5,11.0
2004/4/11,18.6,22.0,14.3
2004/4/12,18.8,24.6,13.5
2004/4/13,18.1,23.3,14.0
2004/4/14,15.0,17.5,12.3
2004/4/15,16.6,23.6,10.5
2004/4/16,18.7,21.7,15.5
2004/4/17,20.0,24.8,15.6
2004/4/18,20.2,25.1,15.0
2004/4/19,19.1,20.9,17.3
2004/4/20,18.8,23.3,13.6
2004/4/21,17.7,23.7,11.7
2004/4/22,20.7,24.9,16.8
2004/4/23,17.2,24.6,10.2
2004/4/24,12.7,17.2,8.9
2004/4/25,13.3,17.2,8.6
2004/4/26,16.8,22.1,11.7
2004/4/27,16.7,21.5,12.9
2004/4/28,14.0,18.8,10.6
2004/4/29,15.7,20.2,10.4
2004/4/30,18.3,23.4,13.6
2004/5/1,20.0,25.3,16.0
