ダウンロードした時刻：2017/07/24 15:39:36

,福井,福井,福井
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/1/1,2.9,6.8,0.0
1983/1/2,2.7,8.0,-1.2
1983/1/3,3.3,7.6,0.3
1983/1/4,4.7,9.9,0.9
1983/1/5,7.1,8.8,2.7
1983/1/6,7.6,10.0,4.2
1983/1/7,8.1,13.7,2.5
1983/1/8,8.3,13.4,3.0
1983/1/9,1.6,4.7,0.5
1983/1/10,1.0,2.7,-0.5
1983/1/11,1.3,3.7,-0.6
1983/1/12,2.2,4.8,0.8
1983/1/13,2.0,4.7,0.8
1983/1/14,1.9,4.8,0.7
1983/1/15,2.8,6.4,1.3
1983/1/16,3.7,8.8,0.3
1983/1/17,5.1,9.1,1.2
1983/1/18,4.6,5.5,3.7
1983/1/19,3.2,6.6,1.2
1983/1/20,0.5,3.0,-0.8
1983/1/21,0.3,2.4,-1.0
1983/1/22,-0.7,2.1,-2.3
1983/1/23,-0.1,3.4,-3.6
1983/1/24,2.4,5.7,0.8
1983/1/25,3.6,8.2,0.9
1983/1/26,3.8,9.1,-0.5
1983/1/27,2.0,8.0,-3.0
1983/1/28,4.4,9.2,0.2
1983/1/29,5.5,11.4,1.2
1983/1/30,4.2,7.5,1.1
1983/1/31,2.9,6.6,-0.9
1983/2/1,4.6,13.1,-3.1
1983/2/2,4.7,6.0,2.6
1983/2/3,3.2,6.0,1.1
1983/2/4,2.8,7.1,0.0
1983/2/5,3.3,9.3,-2.0
1983/2/6,4.5,7.2,2.9
1983/2/7,2.3,5.0,0.7
1983/2/8,1.2,3.6,0.1
1983/2/9,2.7,5.2,0.6
1983/2/10,1.4,4.9,-1.0
1983/2/11,0.8,4.1,-2.0
1983/2/12,0.4,3.2,-1.7
1983/2/13,-0.6,2.6,-3.2
1983/2/14,-0.3,2.9,-5.4
1983/2/15,2.9,7.9,-2.6
1983/2/16,2.7,8.9,-2.2
1983/2/17,1.8,4.7,-1.5
1983/2/18,2.1,4.4,-0.3
1983/2/19,0.9,2.7,-1.6
1983/2/20,0.2,2.1,-1.5
1983/2/21,0.4,2.6,-1.6
1983/2/22,0.6,5.3,-3.8
1983/2/23,3.1,7.6,-1.7
1983/2/24,3.3,8.7,0.5
1983/2/25,2.8,5.9,0.1
1983/2/26,2.0,4.8,-0.3
1983/2/27,2.6,6.7,-1.5
1983/2/28,3.4,9.4,-2.0
1983/3/1,5.3,12.7,-1.8
1983/3/2,9.9,14.6,4.3
1983/3/3,7.0,12.1,3.8
1983/3/4,4.1,6.6,2.7
1983/3/5,2.6,5.8,0.9
1983/3/6,2.4,6.4,0.4
1983/3/7,1.7,4.9,-0.6
1983/3/8,1.4,5.2,-0.8
1983/3/9,3.7,10.2,-1.5
1983/3/10,5.6,7.8,4.1
1983/3/11,7.1,13.1,3.1
1983/3/12,9.3,16.6,1.1
1983/3/13,6.4,8.6,4.1
1983/3/14,2.8,5.7,0.9
1983/3/15,3.8,9.3,0.0
1983/3/16,6.8,12.8,1.1
1983/3/17,6.5,10.2,3.2
1983/3/18,2.7,4.7,0.5
1983/3/19,4.0,9.3,-0.8
1983/3/20,10.0,17.8,0.3
1983/3/21,10.5,14.8,8.2
1983/3/22,11.1,17.2,6.6
1983/3/23,11.9,13.7,8.3
1983/3/24,8.9,10.5,6.5
1983/3/25,7.6,11.1,5.4
1983/3/26,6.8,12.2,1.1
1983/3/27,8.2,12.3,5.6
1983/3/28,8.0,12.9,3.8
1983/3/29,8.1,13.0,3.0
1983/3/30,9.7,13.7,6.1
1983/3/31,11.0,17.2,4.2
1983/4/1,11.4,16.9,8.0
1983/4/2,11.2,14.8,7.7
1983/4/3,11.1,13.6,8.4
1983/4/4,11.0,13.1,8.2
1983/4/5,10.9,17.3,3.6
1983/4/6,14.6,22.5,5.1
1983/4/7,17.0,22.7,12.6
1983/4/8,14.0,19.1,10.7
1983/4/9,15.5,23.6,9.4
1983/4/10,14.8,16.3,13.5
1983/4/11,14.2,17.0,12.9
1983/4/12,12.4,14.2,10.8
1983/4/13,14.4,18.5,10.1
1983/4/14,17.1,21.4,10.3
1983/4/15,18.7,24.8,16.0
1983/4/16,12.2,16.5,10.1
1983/4/17,11.9,15.8,10.3
1983/4/18,15.5,19.5,10.2
1983/4/19,16.8,18.1,15.3
1983/4/20,12.2,15.3,8.1
1983/4/21,14.4,21.2,5.3
1983/4/22,16.2,22.5,12.1
1983/4/23,14.8,20.2,10.7
1983/4/24,16.0,24.4,9.1
1983/4/25,17.9,27.4,9.3
1983/4/26,21.2,29.0,11.0
1983/4/27,21.5,27.8,16.4
1983/4/28,20.8,26.2,15.4
1983/4/29,20.6,28.8,13.6
1983/4/30,13.0,18.2,9.6
1983/5/1,13.5,20.0,8.0
