ダウンロードした時刻：2017/07/24 15:44:32

,神戸,神戸,神戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/1/1,4.8,9.3,2.4
1999/1/2,6.0,10.0,2.4
1999/1/3,6.1,10.3,3.6
1999/1/4,6.3,11.5,2.9
1999/1/5,6.4,11.5,2.6
1999/1/6,7.9,12.2,3.6
1999/1/7,7.2,11.7,0.5
1999/1/8,0.9,4.4,-1.2
1999/1/9,1.3,5.8,-1.4
1999/1/10,2.6,6.2,-0.6
1999/1/11,4.6,8.9,1.7
1999/1/12,4.5,8.3,1.7
1999/1/13,5.3,10.1,1.8
1999/1/14,6.4,9.9,3.6
1999/1/15,4.8,6.4,2.6
1999/1/16,5.7,8.9,2.0
1999/1/17,4.6,9.5,1.4
1999/1/18,5.8,10.6,1.1
1999/1/19,7.9,9.9,4.5
1999/1/20,8.3,12.2,5.0
1999/1/21,4.3,8.7,0.8
1999/1/22,5.3,10.0,1.0
1999/1/23,7.7,12.3,3.2
1999/1/24,8.6,10.1,6.1
1999/1/25,8.7,10.4,6.7
1999/1/26,8.2,11.9,3.3
1999/1/27,6.8,10.8,2.9
1999/1/28,7.6,11.9,1.9
1999/1/29,3.9,8.1,0.7
1999/1/30,3.6,6.8,-0.1
1999/1/31,5.3,9.9,0.8
1999/2/1,7.3,10.4,5.5
1999/2/2,6.2,10.9,2.4
1999/2/3,0.5,4.3,-3.7
1999/2/4,0.1,4.8,-4.5
1999/2/5,3.0,7.4,-0.7
1999/2/6,3.3,8.0,-0.6
1999/2/7,5.6,10.9,0.6
1999/2/8,7.8,13.4,3.0
1999/2/9,7.4,12.0,3.6
1999/2/10,7.4,10.0,4.9
1999/2/11,4.5,6.2,2.7
1999/2/12,3.6,7.7,0.1
1999/2/13,1.4,5.7,-2.1
1999/2/14,3.6,7.7,-0.9
1999/2/15,5.5,9.2,2.8
1999/2/16,6.8,12.4,2.3
1999/2/17,9.0,14.9,3.7
1999/2/18,8.3,10.2,6.6
1999/2/19,4.6,7.8,0.4
1999/2/20,3.5,8.5,0.2
1999/2/21,3.2,7.5,-0.2
1999/2/22,4.6,8.4,-0.4
1999/2/23,7.1,11.6,1.8
1999/2/24,7.5,10.3,4.8
1999/2/25,8.5,13.0,4.9
1999/2/26,9.3,13.4,3.9
1999/2/27,8.6,13.8,1.1
1999/2/28,4.6,9.9,0.9
1999/3/1,8.3,13.6,2.7
1999/3/2,10.9,15.5,7.0
1999/3/3,10.8,16.0,6.9
1999/3/4,11.3,15.3,6.8
1999/3/5,14.2,17.2,11.0
1999/3/6,10.1,14.9,7.3
1999/3/7,8.5,10.4,6.9
1999/3/8,7.8,12.2,4.3
1999/3/9,6.6,8.1,5.1
1999/3/10,8.1,12.7,4.5
1999/3/11,8.1,11.9,5.3
1999/3/12,5.7,9.4,2.7
1999/3/13,9.3,12.8,2.8
1999/3/14,14.8,19.7,11.1
1999/3/15,14.7,17.8,11.8
1999/3/16,11.0,15.3,7.9
1999/3/17,13.5,19.6,6.3
1999/3/18,16.8,21.9,12.6
1999/3/19,14.4,18.2,8.5
1999/3/20,6.3,8.5,4.0
1999/3/21,6.8,8.5,4.5
1999/3/22,5.0,7.4,2.5
1999/3/23,4.9,9.5,-0.1
1999/3/24,10.4,15.5,3.1
1999/3/25,13.6,16.8,10.3
1999/3/26,15.5,17.8,13.3
1999/3/27,10.9,15.2,5.5
1999/3/28,7.7,13.3,3.1
1999/3/29,5.5,9.6,2.0
1999/3/30,6.6,9.3,3.5
1999/3/31,12.1,16.9,8.9
1999/4/1,14.6,19.7,8.3
1999/4/2,14.1,18.7,8.3
1999/4/3,9.0,12.9,5.4
1999/4/4,10.2,15.7,5.9
1999/4/5,11.4,15.4,7.9
1999/4/6,13.1,17.9,8.3
1999/4/7,8.4,12.4,4.1
1999/4/8,8.2,13.1,3.6
1999/4/9,12.2,17.6,4.9
1999/4/10,13.5,15.6,11.4
1999/4/11,16.8,22.1,12.9
1999/4/12,15.7,20.2,11.1
1999/4/13,15.2,19.0,12.1
1999/4/14,12.7,15.7,8.8
1999/4/15,11.6,15.9,6.4
1999/4/16,14.2,19.7,9.3
1999/4/17,16.1,20.4,11.8
1999/4/18,13.9,15.9,12.6
1999/4/19,16.1,18.1,14.2
1999/4/20,17.5,22.3,14.4
1999/4/21,17.0,22.5,11.8
1999/4/22,19.2,23.1,16.4
1999/4/23,16.5,18.8,15.2
1999/4/24,15.9,17.9,14.8
1999/4/25,16.9,22.9,14.0
1999/4/26,16.0,18.2,14.3
1999/4/27,17.1,22.1,12.0
1999/4/28,15.4,21.0,11.3
1999/4/29,11.9,17.5,7.2
1999/4/30,12.5,18.4,6.1
1999/5/1,16.1,21.4,10.4
