ダウンロードした時刻：2017/07/24 15:41:23

,銚子,銚子,銚子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/1/1,8.8,11.6,5.1
1982/1/2,8.9,11.6,6.6
1982/1/3,7.5,9.7,6.2
1982/1/4,11.7,16.4,5.2
1982/1/5,13.1,16.5,8.6
1982/1/6,7.3,8.6,6.3
1982/1/7,3.8,9.9,0.5
1982/1/8,4.2,7.5,-1.0
1982/1/9,7.0,11.7,0.8
1982/1/10,7.4,10.2,3.0
1982/1/11,7.8,9.9,4.4
1982/1/12,11.0,15.4,3.9
1982/1/13,10.5,12.2,8.5
1982/1/14,6.7,8.5,3.3
1982/1/15,7.2,9.5,3.5
1982/1/16,5.2,7.2,3.5
1982/1/17,3.7,6.8,0.1
1982/1/18,4.8,10.1,-0.8
1982/1/19,3.2,9.4,0.4
1982/1/20,2.8,6.9,-0.5
1982/1/21,5.2,9.8,-0.9
1982/1/22,8.0,11.2,1.0
1982/1/23,7.6,12.5,1.2
1982/1/24,5.3,10.1,-0.5
1982/1/25,6.9,9.6,2.9
1982/1/26,5.4,8.1,1.5
1982/1/27,5.5,8.7,2.2
1982/1/28,5.0,8.3,-0.9
1982/1/29,0.6,5.1,-2.5
1982/1/30,0.9,5.0,-3.0
1982/1/31,4.2,7.9,-1.3
1982/2/1,5.0,9.7,0.9
1982/2/2,2.1,6.4,-1.3
1982/2/3,3.9,8.2,-0.4
1982/2/4,4.8,9.2,2.3
1982/2/5,3.1,5.1,-0.3
1982/2/6,3.6,8.5,-0.8
1982/2/7,1.5,4.5,-1.3
1982/2/8,1.9,6.7,-1.8
1982/2/9,3.1,7.3,-1.8
1982/2/10,3.7,8.4,-0.4
1982/2/11,4.2,9.9,-2.7
1982/2/12,7.8,8.9,3.4
1982/2/13,6.3,7.4,5.8
1982/2/14,5.4,8.2,2.3
1982/2/15,5.3,8.6,1.9
1982/2/16,7.6,11.4,1.8
1982/2/17,8.1,9.4,6.4
1982/2/18,7.1,9.4,5.5
1982/2/19,10.2,14.3,6.9
1982/2/20,11.1,14.9,8.0
1982/2/21,9.0,11.9,6.5
1982/2/22,7.6,10.4,3.9
1982/2/23,5.9,9.2,2.2
1982/2/24,4.1,6.4,3.1
1982/2/25,3.9,6.5,2.2
1982/2/26,3.5,7.8,-0.2
1982/2/27,5.5,9.2,1.1
1982/2/28,8.5,12.0,2.6
1982/3/1,7.4,10.0,5.2
1982/3/2,5.6,9.7,0.5
1982/3/3,4.6,9.7,-0.3
1982/3/4,8.6,12.7,1.3
1982/3/5,13.5,15.3,10.2
1982/3/6,7.5,14.2,5.1
1982/3/7,5.7,7.1,4.2
1982/3/8,4.6,6.2,2.9
1982/3/9,7.6,10.5,2.9
1982/3/10,8.9,11.1,4.6
1982/3/11,10.7,15.0,4.5
1982/3/12,12.2,16.1,8.2
1982/3/13,10.8,13.6,8.7
1982/3/14,8.6,10.0,7.0
1982/3/15,13.5,15.5,9.8
1982/3/16,14.2,16.2,11.7
1982/3/17,10.2,12.9,9.7
1982/3/18,8.8,12.9,7.3
1982/3/19,8.0,10.2,4.0
1982/3/20,11.1,13.0,8.5
1982/3/21,12.3,15.6,9.0
1982/3/22,10.5,13.6,7.3
1982/3/23,12.5,18.2,7.8
1982/3/24,10.9,14.5,7.4
1982/3/25,7.1,9.4,5.4
1982/3/26,6.8,9.4,3.7
1982/3/27,6.7,8.5,4.6
1982/3/28,7.5,9.4,6.7
1982/3/29,8.4,10.0,6.1
1982/3/30,13.8,17.2,9.8
1982/3/31,13.9,16.0,10.2
1982/4/1,10.3,12.2,8.0
1982/4/2,11.5,14.9,7.5
1982/4/3,13.6,16.8,7.7
1982/4/4,7.3,8.8,4.6
1982/4/5,9.2,12.6,4.8
1982/4/6,12.6,15.7,7.5
1982/4/7,14.4,16.0,12.8
1982/4/8,13.6,16.1,11.0
1982/4/9,14.1,19.4,9.8
1982/4/10,9.9,15.1,5.6
1982/4/11,9.3,13.4,3.3
1982/4/12,12.2,15.4,6.3
1982/4/13,14.6,17.3,13.1
1982/4/14,15.8,19.2,13.1
1982/4/15,15.1,17.7,11.3
1982/4/16,15.7,20.1,11.5
1982/4/17,11.2,13.9,9.0
1982/4/18,12.4,17.4,6.7
1982/4/19,12.5,15.6,7.2
1982/4/20,15.1,18.0,11.7
1982/4/21,13.9,15.4,12.3
1982/4/22,11.5,13.1,10.4
1982/4/23,12.2,14.4,10.0
1982/4/24,15.2,18.4,11.7
1982/4/25,15.9,19.1,13.3
1982/4/26,16.4,19.5,12.4
1982/4/27,14.2,15.8,13.2
1982/4/28,14.3,15.5,13.3
1982/4/29,17.1,19.9,14.2
1982/4/30,18.3,20.9,15.8
1982/5/1,18.1,19.8,17.4
