ダウンロードした時刻：2017/07/24 15:42:11

,尾鷲,尾鷲,尾鷲
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/1/1,4.9,12.3,-0.1
1983/1/2,5.8,12.8,-0.3
1983/1/3,5.5,12.7,0.9
1983/1/4,5.4,12.2,-0.9
1983/1/5,9.5,12.3,3.0
1983/1/6,11.5,15.6,9.9
1983/1/7,10.9,11.9,9.8
1983/1/8,11.3,13.7,7.9
1983/1/9,5.7,10.4,1.2
1983/1/10,4.3,6.7,1.7
1983/1/11,4.7,8.9,1.3
1983/1/12,5.1,10.7,-0.2
1983/1/13,7.1,11.7,0.3
1983/1/14,6.1,10.2,2.2
1983/1/15,5.2,11.7,0.3
1983/1/16,5.4,12.7,-0.1
1983/1/17,7.8,13.7,0.3
1983/1/18,9.3,13.2,5.8
1983/1/19,6.9,12.8,1.7
1983/1/20,3.7,7.1,-0.5
1983/1/21,3.5,8.3,-2.2
1983/1/22,2.2,5.6,-0.6
1983/1/23,1.6,7.6,-3.8
1983/1/24,4.3,12.2,-2.2
1983/1/25,4.8,12.7,-0.9
1983/1/26,6.6,14.5,0.5
1983/1/27,7.2,13.2,0.7
1983/1/28,8.5,15.1,3.4
1983/1/29,8.9,15.1,1.7
1983/1/30,10.9,18.7,3.6
1983/1/31,6.2,12.4,1.7
1983/2/1,8.2,13.6,-0.2
1983/2/2,10.8,13.8,8.5
1983/2/3,7.6,13.7,1.4
1983/2/4,4.6,11.2,-1.2
1983/2/5,5.6,13.3,-1.0
1983/2/6,8.5,15.8,0.6
1983/2/7,9.7,12.7,5.7
1983/2/8,5.9,10.0,1.7
1983/2/9,5.9,9.8,1.4
1983/2/10,5.1,9.2,-0.4
1983/2/11,3.0,9.5,-2.4
1983/2/12,3.9,9.2,-1.6
1983/2/13,2.8,8.0,-1.6
1983/2/14,2.8,8.9,-3.4
1983/2/15,7.0,14.1,0.9
1983/2/16,6.9,12.4,-0.1
1983/2/17,7.6,9.5,6.0
1983/2/18,6.3,12.3,1.6
1983/2/19,3.5,7.3,-0.4
1983/2/20,4.6,9.8,-1.0
1983/2/21,3.3,8.9,-1.2
1983/2/22,4.1,10.8,-2.9
1983/2/23,7.5,13.6,0.0
1983/2/24,7.0,10.8,3.7
1983/2/25,6.7,13.1,1.3
1983/2/26,5.4,11.7,-0.8
1983/2/27,5.2,12.0,-0.9
1983/2/28,6.3,13.9,-1.1
1983/3/1,8.6,15.5,0.8
1983/3/2,12.5,19.7,8.3
1983/3/3,13.3,18.0,6.4
1983/3/4,7.8,11.4,4.6
1983/3/5,5.5,10.2,0.0
1983/3/6,5.4,12.8,-1.3
1983/3/7,5.2,10.7,-0.4
1983/3/8,4.6,8.8,0.1
1983/3/9,5.7,11.8,-1.9
1983/3/10,7.5,10.5,4.7
1983/3/11,9.5,17.0,3.0
1983/3/12,10.4,14.8,3.6
1983/3/13,12.9,18.5,9.4
1983/3/14,6.7,10.8,2.1
1983/3/15,6.7,12.9,-0.6
1983/3/16,8.8,12.6,4.0
1983/3/17,11.2,17.0,7.8
1983/3/18,6.7,9.9,3.2
1983/3/19,7.8,15.5,-0.4
1983/3/20,11.2,15.4,3.9
1983/3/21,13.1,15.7,11.0
1983/3/22,12.6,17.8,7.0
1983/3/23,13.2,15.6,10.0
1983/3/24,15.0,19.8,10.1
1983/3/25,10.3,15.6,5.8
1983/3/26,9.2,13.7,3.0
1983/3/27,10.1,11.1,8.5
1983/3/28,12.0,14.8,9.6
1983/3/29,9.9,11.1,8.7
1983/3/30,11.3,14.4,8.5
1983/3/31,11.1,14.3,9.6
1983/4/1,12.9,16.7,9.8
1983/4/2,13.8,18.9,8.9
1983/4/3,13.2,19.0,7.9
1983/4/4,13.9,22.3,7.7
1983/4/5,13.3,19.4,7.6
1983/4/6,13.7,19.0,6.3
1983/4/7,14.6,18.9,11.1
1983/4/8,14.3,18.9,11.4
1983/4/9,14.6,18.0,10.2
1983/4/10,14.3,15.6,13.1
1983/4/11,16.3,18.8,13.7
1983/4/12,17.1,21.0,14.9
1983/4/13,15.4,20.2,10.9
1983/4/14,14.2,17.6,9.2
1983/4/15,17.8,21.4,14.6
1983/4/16,16.9,20.4,15.5
1983/4/17,15.7,16.8,15.0
1983/4/18,15.1,16.5,14.0
1983/4/19,15.8,17.1,13.9
1983/4/20,17.5,24.0,10.3
1983/4/21,13.7,18.5,7.1
1983/4/22,16.9,22.8,14.0
1983/4/23,16.8,21.9,12.0
1983/4/24,16.3,21.4,11.8
1983/4/25,17.4,24.9,11.4
1983/4/26,18.0,25.7,9.9
1983/4/27,21.5,25.5,16.7
1983/4/28,21.7,26.7,17.4
1983/4/29,24.0,29.5,19.7
1983/4/30,16.3,20.8,11.6
1983/5/1,13.9,18.0,10.0
